UpperName	miRGate.name	Accession	Name
HSA-MIR-3620-3P	hsa-mir-3620-3p	MIMAT0018001	hsa-miR-3620-3p
HSA-MIR-3620-5P	hsa-mir-3620-5p	MIMAT0022967	hsa-miR-3620-5p
HSA-MIR-3621	hsa-mir-3621	MIMAT0018002	hsa-miR-3621
HSA-MIR-3622A-5P	hsa-mir-3622a-5p	MIMAT0018003	hsa-miR-3622a-5p
HSA-MIR-3622B-5P	hsa-mir-3622b-5p	MIMAT0018005	hsa-miR-3622b-5p
HSA-MIR-363-5P	hsa-mir-363-5p	MIMAT0003385	hsa-miR-363-5p
HSA-MIR-3648	hsa-mir-3648	MIMAT0018068	hsa-miR-3648
HSA-MIR-3649	hsa-mir-3649	MIMAT0018069	hsa-miR-3649
HSA-MIR-3651	hsa-mir-3651	MIMAT0018071	hsa-miR-3651
HSA-MIR-3656	hsa-mir-3656	MIMAT0018076	hsa-miR-3656
HSA-MIR-3657	hsa-mir-3657	MIMAT0018077	hsa-miR-3657
HSA-MIR-3658	hsa-mir-3658	MIMAT0018078	hsa-miR-3658
HSA-MIR-365A-3P	hsa-mir-365a-3p	MIMAT0000710	hsa-miR-365a-3p
HSA-MIR-365B-3P	hsa-mir-365b-3p	MIMAT0022834	hsa-miR-365b-3p
HSA-MIR-3660	hsa-mir-3660	MIMAT0018081	hsa-miR-3660
HSA-MIR-3662	hsa-mir-3662	MIMAT0018083	hsa-miR-3662
HSA-MIR-3663-3P	hsa-mir-3663-3p	MIMAT0018085	hsa-miR-3663-3p
HSA-MIR-3664-3P	hsa-mir-3664-3p	MIMAT0019220	hsa-miR-3664-3p
